Life tables extracted from the HMD: MD. 2020. Human Mortality Database. University of California, Berkeley (USA), and Max Planck Institute for Demographic Research (Germany), Available at www.mortality.org (Accessed on September 9)

"country" "Year" "Age" "mx" "qx" "ax" "lx" "dx" "Lx" "Tx" "ex" "Sex"
"180376" "FRATNP" 2018 "0" 0.00345 0.00344 0.14 100000 344 99705 8549211 85.49 "Females"
"180377" "FRATNP" 2018 "1" 0.00022 0.00022 0.5 99656 22 99645 8449506 84.79 "Females"
"180378" "FRATNP" 2018 "2" 0.00014 0.00014 0.5 99634 14 99627 8349861 83.81 "Females"
"180379" "FRATNP" 2018 "3" 0.00012 0.00012 0.5 99620 12 99614 8250233 82.82 "Females"
"180380" "FRATNP" 2018 "4" 9e-05 9e-05 0.5 99608 9 99603 8150619 81.83 "Females"
"180381" "FRATNP" 2018 "5" 7e-05 7e-05 0.5 99599 7 99595 8051016 80.83 "Females"
"180382" "FRATNP" 2018 "6" 9e-05 9e-05 0.5 99591 9 99587 7951421 79.84 "Females"
"180383" "FRATNP" 2018 "7" 5e-05 5e-05 0.5 99582 5 99579 7851834 78.85 "Females"
"180384" "FRATNP" 2018 "8" 7e-05 7e-05 0.5 99577 7 99573 7752255 77.85 "Females"
"180385" "FRATNP" 2018 "9" 6e-05 6e-05 0.5 99570 6 99567 7652682 76.86 "Females"
"180386" "FRATNP" 2018 "10" 8e-05 8e-05 0.5 99564 8 99560 7553115 75.86 "Females"
"180387" "FRATNP" 2018 "11" 4e-05 4e-05 0.5 99556 4 99554 7453555 74.87 "Females"
"180388" "FRATNP" 2018 "12" 6e-05 6e-05 0.5 99552 6 99549 7354001 73.87 "Females"
"180389" "FRATNP" 2018 "13" 8e-05 8e-05 0.5 99545 8 99541 7254453 72.88 "Females"
"180390" "FRATNP" 2018 "14" 7e-05 7e-05 0.5 99537 7 99534 7154911 71.88 "Females"
"180391" "FRATNP" 2018 "15" 0.00011 0.00011 0.5 99530 11 99525 7055377 70.89 "Females"
"180392" "FRATNP" 2018 "16" 0.00014 0.00014 0.5 99520 14 99513 6955852 69.89 "Females"
"180393" "FRATNP" 2018 "17" 0.00011 0.00011 0.5 99506 11 99501 6856339 68.9 "Females"
"180394" "FRATNP" 2018 "18" 0.00018 0.00018 0.5 99495 18 99486 6756838 67.91 "Females"
"180395" "FRATNP" 2018 "19" 0.00017 0.00017 0.5 99477 17 99468 6657352 66.92 "Females"
"180396" "FRATNP" 2018 "20" 0.00018 0.00018 0.5 99460 18 99451 6557884 65.94 "Females"
"180397" "FRATNP" 2018 "21" 0.00022 0.00022 0.5 99442 22 99431 6458433 64.95 "Females"
"180398" "FRATNP" 2018 "22" 0.00019 0.00019 0.5 99420 19 99410 6359002 63.96 "Females"
"180399" "FRATNP" 2018 "23" 0.00019 0.00019 0.5 99401 19 99391 6259591 62.97 "Females"
"180400" "FRATNP" 2018 "24" 0.00019 0.00019 0.5 99382 19 99372 6160200 61.99 "Females"
"180401" "FRATNP" 2018 "25" 0.00026 0.00026 0.5 99362 26 99349 6060828 61 "Females"
"180402" "FRATNP" 2018 "26" 0.00023 0.00023 0.5 99336 23 99325 5961479 60.01 "Females"
"180403" "FRATNP" 2018 "27" 0.00021 0.00021 0.5 99313 21 99302 5862154 59.03 "Females"
"180404" "FRATNP" 2018 "28" 0.00028 0.00028 0.5 99292 28 99278 5762852 58.04 "Females"
"180405" "FRATNP" 2018 "29" 0.00033 0.00033 0.5 99264 32 99248 5663574 57.06 "Females"
"180406" "FRATNP" 2018 "30" 0.00026 0.00026 0.5 99231 25 99219 5564326 56.07 "Females"
"180407" "FRATNP" 2018 "31" 3e-04 3e-04 0.5 99206 30 99191 5465108 55.09 "Females"
"180408" "FRATNP" 2018 "32" 0.00036 0.00036 0.5 99176 35 99159 5365916 54.1 "Females"
"180409" "FRATNP" 2018 "33" 0.00038 0.00038 0.5 99141 38 99122 5266758 53.12 "Females"
"180410" "FRATNP" 2018 "34" 0.00041 0.00041 0.5 99103 40 99083 5167636 52.14 "Females"
"180411" "FRATNP" 2018 "35" 0.00044 0.00044 0.5 99063 43 99041 5068553 51.17 "Females"
"180412" "FRATNP" 2018 "36" 5e-04 5e-04 0.5 99019 49 98995 4969512 50.19 "Females"
"180413" "FRATNP" 2018 "37" 0.00056 0.00056 0.5 98970 56 98942 4870517 49.21 "Females"
"180414" "FRATNP" 2018 "38" 0.00054 0.00054 0.5 98914 53 98888 4771575 48.24 "Females"
"180415" "FRATNP" 2018 "39" 6e-04 6e-04 0.5 98861 60 98831 4672687 47.27 "Females"
"180416" "FRATNP" 2018 "40" 0.00073 0.00073 0.5 98802 72 98766 4573856 46.29 "Females"
"180417" "FRATNP" 2018 "41" 0.00084 0.00084 0.5 98730 83 98688 4475090 45.33 "Females"
"180418" "FRATNP" 2018 "42" 0.00088 0.00088 0.5 98647 87 98604 4376402 44.36 "Females"
"180419" "FRATNP" 2018 "43" 0.00106 0.00106 0.5 98561 105 98508 4277798 43.4 "Females"
"180420" "FRATNP" 2018 "44" 0.00119 0.00119 0.5 98456 117 98397 4179290 42.45 "Females"
"180421" "FRATNP" 2018 "45" 0.0012 0.0012 0.5 98339 118 98279 4080893 41.5 "Females"
"180422" "FRATNP" 2018 "46" 0.00135 0.00135 0.5 98220 132 98154 3982613 40.55 "Females"
"180423" "FRATNP" 2018 "47" 0.00141 0.00141 0.5 98088 138 98019 3884459 39.6 "Females"
"180424" "FRATNP" 2018 "48" 0.00163 0.00163 0.5 97950 160 97870 3786440 38.66 "Females"
"180425" "FRATNP" 2018 "49" 0.00192 0.00192 0.5 97790 187 97697 3688570 37.72 "Females"
"180426" "FRATNP" 2018 "50" 0.002 0.00199 0.5 97603 195 97506 3590873 36.79 "Females"
"180427" "FRATNP" 2018 "51" 0.00223 0.00223 0.5 97408 217 97300 3493368 35.86 "Females"
"180428" "FRATNP" 2018 "52" 0.00226 0.00225 0.5 97191 219 97082 3396068 34.94 "Females"
"180429" "FRATNP" 2018 "53" 0.0026 0.0026 0.5 96972 252 96846 3298986 34.02 "Females"
