TIME,"GEO","AGE","SEX","UNIT","Value"
2019,"Ireland","Less than 1 year","Total","Number","61184"
2019,"Ireland","1 year","Total","Number","62649"
2019,"Ireland","2 years","Total","Number","63519"
2019,"Ireland","3 years","Total","Number","63335"
2019,"Ireland","4 years","Total","Number","64740"
2019,"Ireland","5 years","Total","Number","67297"
2019,"Ireland","6 years","Total","Number","69089"
2019,"Ireland","7 years","Total","Number","71464"
2019,"Ireland","8 years","Total","Number","72660"
2019,"Ireland","9 years","Total","Number","72893"
2019,"Ireland","10 years","Total","Number","72232"
2019,"Ireland","11 years","Total","Number","70758"
2019,"Ireland","12 years","Total","Number","66580"
2019,"Ireland","13 years","Total","Number","64938"
2019,"Ireland","14 years","Total","Number","64420"
2019,"Ireland","15 years","Total","Number","64434"
2019,"Ireland","16 years","Total","Number","64950"
2019,"Ireland","17 years","Total","Number","63860"
2019,"Ireland","18 years","Total","Number","62992"
2019,"Ireland","19 years","Total","Number","63101"
2019,"Ireland","20 years","Total","Number","62445"
2019,"Ireland","21 years","Total","Number","62104"
2019,"Ireland","22 years","Total","Number","58632"
2019,"Ireland","23 years","Total","Number","56997"
2019,"Ireland","24 years","Total","Number","56004"
2019,"Ireland","25 years","Total","Number","56099"
2019,"Ireland","26 years","Total","Number","56153"
2019,"Ireland","27 years","Total","Number","58132"
2019,"Ireland","28 years","Total","Number","59421"
2019,"Ireland","29 years","Total","Number","59916"
2019,"Ireland","30 years","Total","Number","62985"
2019,"Ireland","31 years","Total","Number","62444"
2019,"Ireland","32 years","Total","Number","66119"
2019,"Ireland","33 years","Total","Number","69784"
2019,"Ireland","34 years","Total","Number","70942"
2019,"Ireland","35 years","Total","Number","74425"
2019,"Ireland","36 years","Total","Number","77286"
2019,"Ireland","37 years","Total","Number","79964"
2019,"Ireland","38 years","Total","Number","83195"
2019,"Ireland","39 years","Total","Number","82613"
2019,"Ireland","40 years","Total","Number","77733"
2019,"Ireland","41 years","Total","Number","75925"
2019,"Ireland","42 years","Total","Number","74905"
2019,"Ireland","43 years","Total","Number","74786"
2019,"Ireland","44 years","Total","Number","74281"
2019,"Ireland","45 years","Total","Number","72311"
2019,"Ireland","46 years","Total","Number","71336"
2019,"Ireland","47 years","Total","Number","69270"
2019,"Ireland","48 years","Total","Number","69111"
2019,"Ireland","49 years","Total","Number","65948"
2019,"Ireland","50 years","Total","Number","63102"
2019,"Ireland","51 years","Total","Number","62108"
2019,"Ireland","52 years","Total","Number","61291"
2019,"Ireland","53 years","Total","Number","61436"
2019,"Ireland","54 years","Total","Number","61060"
2019,"Ireland","55 years","Total","Number","59589"
2019,"Ireland","56 years","Total","Number","57542"
2019,"Ireland","57 years","Total","Number","56349"
2019,"Ireland","58 years","Total","Number","56444"
2019,"Ireland","59 years","Total","Number","54231"
2019,"Ireland","60 years","Total","Number","52977"
2019,"Ireland","61 years","Total","Number","51301"
2019,"Ireland","62 years","Total","Number","49943"
2019,"Ireland","63 years","Total","Number","48830"
2019,"Ireland","64 years","Total","Number","48237"
2019,"Ireland","65 years","Total","Number","46132"
2019,"Ireland","66 years","Total","Number","45470"
2019,"Ireland","67 years","Total","Number","43099"
2019,"Ireland","68 years","Total","Number","42213"
2019,"Ireland","69 years","Total","Number","41466"
2019,"Ireland","70 years","Total","Number","40370"
2019,"Ireland","71 years","Total","Number","38645"
2019,"Ireland","72 years","Total","Number","36867"
2019,"Ireland","73 years","Total","Number","34954"
2019,"Ireland","74 years","Total","Number","32334"
2019,"Ireland","75 years","Total","Number","29854"
2019,"Ireland","76 years","Total","Number","27107"
2019,"Ireland","77 years","Total","Number","24276"
2019,"Ireland","78 years","Total","Number","22760"
2019,"Ireland","79 years","Total","Number","22068"
2019,"Ireland","80 years","Total","Number","20349"
2019,"Ireland","81 years","Total","Number","18550"
2019,"Ireland","82 years","Total","Number","17153"
2019,"Ireland","83 years","Total","Number","16158"
2019,"Ireland","84 years","Total","Number","14883"
2019,"Ireland","85 years","Total","Number","12982"
2019,"Ireland","86 years","Total","Number","10857"
2019,"Ireland","87 years","Total","Number","9304"
2019,"Ireland","88 years","Total","Number","8456"
2019,"Ireland","89 years","Total","Number","7257"
2019,"Ireland","90 years","Total","Number","6087"
2019,"Ireland","91 years","Total","Number","4768"
2019,"Ireland","92 years","Total","Number","3874"
2019,"Ireland","93 years","Total","Number","3007"
2019,"Ireland","94 years","Total","Number","2508"
2019,"Ireland","95 years","Total","Number","2021"
2019,"Ireland","96 years","Total","Number","1528"
2019,"Ireland","97 years","Total","Number","1241"
2019,"Ireland","98 years","Total","Number","927"
2019,"Ireland","99 years","Total","Number","736"
2019,"Ireland","Open-ended age class","Total","Number","1178"
2019,"Italy","Less than 1 year","Total","Number","438287"
2019,"Italy","1 year","Total","Number","459922"
2019,"Italy","2 years","Total","Number","476020"
2019,"Italy","3 years","Total","Number","489037"
2019,"Italy","4 years","Total","Number","504420"
2019,"Italy","5 years","Total","Number","512997"
2019,"Italy","6 years","Total","Number","535259"
2019,"Italy","7 years","Total","Number","545227"
2019,"Italy","8 years","Total","Number","560106"
2019,"Italy","9 years","Total","Number","569207"
2019,"Italy","10 years","Total","Number","575704"
2019,"Italy","11 years","Total","Number","573870"
2019,"Italy","12 years","Total","Number","574671"
2019,"Italy","13 years","Total","Number","570699"
2019,"Italy","14 years","Total","Number","576789"
2019,"Italy","15 years","Total","Number","572237"
2019,"Italy","16 years","Total","Number","568910"
2019,"Italy","17 years","Total","Number","575772"
2019,"Italy","18 years","Total","Number","590965"
2019,"Italy","19 years","Total","Number","589257"
2019,"Italy","20 years","Total","Number","596889"
2019,"Italy","21 years","Total","Number","595298"
2019,"Italy","22 years","Total","Number","597394"
2019,"Italy","23 years","Total","Number","596671"
2019,"Italy","24 years","Total","Number","603993"
2019,"Italy","25 years","Total","Number","616285"
2019,"Italy","26 years","Total","Number","643323"
2019,"Italy","27 years","Total","Number","640950"
2019,"Italy","28 years","Total","Number","655536"
2019,"Italy","29 years","Total","Number","654931"
2019,"Italy","30 years","Total","Number","670761"
2019,"Italy","31 years","Total","Number","658626"
2019,"Italy","32 years","Total","Number","662121"
2019,"Italy","33 years","Total","Number","682913"
2019,"Italy","34 years","Total","Number","694925"
2019,"Italy","35 years","Total","Number","706776"
2019,"Italy","36 years","Total","Number","730609"
2019,"Italy","37 years","Total","Number","735922"
2019,"Italy","38 years","Total","Number","754424"
2019,"Italy","39 years","Total","Number","777141"
2019,"Italy","40 years","Total","Number","817752"
2019,"Italy","41 years","Total","Number","843565"
2019,"Italy","42 years","Total","Number","879842"
2019,"Italy","43 years","Total","Number","920163"
2019,"Italy","44 years","Total","Number","957035"
2019,"Italy","45 years","Total","Number","950671"
2019,"Italy","46 years","Total","Number","959730"
2019,"Italy","47 years","Total","Number","968514"
2019,"Italy","48 years","Total","Number","959790"
2019,"Italy","49 years","Total","Number","985592"
2019,"Italy","50 years","Total","Number","978404"
2019,"Italy","51 years","Total","Number","981716"
2019,"Italy","52 years","Total","Number","989428"
2019,"Italy","53 years","Total","Number","986468"
2019,"Italy","54 years","Total","Number","998320"
2019,"Italy","55 years","Total","Number","936477"
2019,"Italy","56 years","Total","Number","904354"
2019,"Italy","57 years","Total","Number","885307"
2019,"Italy","58 years","Total","Number","856850"
2019,"Italy","59 years","Total","Number","834907"
2019,"Italy","60 years","Total","Number","796679"
2019,"Italy","61 years","Total","Number","787187"
2019,"Italy","62 years","Total","Number","769504"
2019,"Italy","63 years","Total","Number","753222"
2019,"Italy","64 years","Total","Number","739645"
2019,"Italy","65 years","Total","Number","703367"
2019,"Italy","66 years","Total","Number","690052"
2019,"Italy","67 years","Total","Number","684817"
2019,"Italy","68 years","Total","Number","706443"
2019,"Italy","69 years","Total","Number","706294"
2019,"Italy","70 years","Total","Number","732098"
2019,"Italy","71 years","Total","Number","710554"
2019,"Italy","72 years","Total","Number","704083"
2019,"Italy","73 years","Total","Number","538957"
2019,"Italy","74 years","Total","Number","548160"
2019,"Italy","75 years","Total","Number","545814"
2019,"Italy","76 years","Total","Number","534585"
2019,"Italy","77 years","Total","Number","528749"
2019,"Italy","78 years","Total","Number","570874"
2019,"Italy","79 years","Total","Number","548659"
2019,"Italy","80 years","Total","Number","517455"
2019,"Italy","81 years","Total","Number","463046"
2019,"Italy","82 years","Total","Number","417429"
2019,"Italy","83 years","Total","Number","406335"
2019,"Italy","84 years","Total","Number","372317"
2019,"Italy","85 years","Total","Number","337748"
2019,"Italy","86 years","Total","Number","302429"
2019,"Italy","87 years","Total","Number","275699"
2019,"Italy","88 years","Total","Number","256490"
2019,"Italy","89 years","Total","Number","206598"
2019,"Italy","90 years","Total","Number","175411"
2019,"Italy","91 years","Total","Number","146741"
2019,"Italy","92 years","Total","Number","117648"
2019,"Italy","93 years","Total","Number","93423"
2019,"Italy","94 years","Total","Number","72341"
2019,"Italy","95 years","Total","Number","55604"
2019,"Italy","96 years","Total","Number","40418"
2019,"Italy","97 years","Total","Number","29328"
2019,"Italy","98 years","Total","Number","19982"
2019,"Italy","99 years","Total","Number","9176"
2019,"Italy","Open-ended age class","Total","Number","14456"
